exchange,date,volume_eth,notional_volume_usd
Hyperliquid,2026-05-18,530433.9914,1126002156.51058
Orderly,2026-05-18,10271.6056,21841625.326065
Hyperliquid,2026-05-19,263099.96340000007,557182405.26537
Orderly,2026-05-19,6584.452199999999,13964637.201448
Hyperliquid,2026-05-20,237196.16689999998,504875215.7800301
Orderly,2026-05-20,5991.313,12756754.874424
Hyperliquid,2026-05-21,389189.52570000006,829705603.87199
Orderly,2026-05-21,4460.4254,9505437.477352
Hyperliquid,2026-05-22,417363.0991,873912860.12724
Orderly,2026-05-22,7756.8793000000005,16346820.784387993
Hyperliquid,2026-05-23,568276.1408,1184957597.8843899
Orderly,2026-05-23,13509.896,27835476.613522995
Hyperliquid,2026-05-24,223073.22190000003,468560901.38411003
Orderly,2026-05-24,7935.4222,16684766.838714002
Hyperliquid,2026-05-25,254532.01429999998,537437730.09448
Orderly,2026-05-25,12627.105099999997,26741444.471661
Hyperliquid,2026-05-26,387663.24739999993,812594483.6334802
Orderly,2026-05-26,12221.023600000004,25697494.284212004
Hyperliquid,2026-05-27,385954.10610000003,793250627.5345501
Orderly,2026-05-27,9489.088300000001,19454699.881869998
Hyperliquid,2026-05-28,491497.6426999999,981953645.11101
Orderly,2026-05-28,13228.261400000001,26355375.703265
Hyperliquid,2026-05-29,479917.094,969353556.2420597
Orderly,2026-05-29,5780.066699999998,11650448.057024
Hyperliquid,2026-05-30,195769.1945,395683385.8757201
Orderly,2026-05-30,4362.289600000001,8805037.567367999
Hyperliquid,2026-05-31,200385.0165,403277955.62235004
Orderly,2026-05-31,4043.7528000000007,8155612.178042001
Hyperliquid,2026-06-01,98311.63840000001,197141185.50843
Orderly,2026-06-01,1786.2815,3566024.022197
